Date;Title;Resume;Text;Type;Tags;links
2019-04-26 00:00:00;Taking HIV drug PrEP 'doesn't mean you're promiscuous' - BBC News;A study will look at whether use of the HIV drug increases infection rates for other STIs.;"""Just because you're using PrEP, it doesn't mean you're putting it about."" For thousands of people like Chris Hicks, a 35-year-old DJ from Cardiff, HIV-prevention drug Pre-exposure prophylaxis (PrEP) has diminished the fear around sex. New studies are looking at whether the drug could increase ""risky behaviour"" and infection rates for other STIs. Chris says that, while he's ""not always 100% safe"", he'd like to see some stigma around the drug disappear. ""Some people will automatically assume that, because you're on PrEP, you put it about quite a lot and you're very promiscuous, when really it's not,"" he said. ""You're just taking an extra precaution towards protecting yourself. It's just an added thing to go toward your usual safe-sex practices."" PrEP is provided on the NHS in Scotland, with a study being run in Wales and an impact trial involving thousands of people being rolled out in England. The drug has been hailed as a ""milestone"" in the battle against HIV.  But some research has suggested its use could lead to more cases of other STIs, such as syphilis and gonorrhoea. One study by the University of New South Wales in Australia found HIV-negative men using PrEP were more likely to have unprotected sex. Chris said that as a gay man who grew up in the 1980s, HIV was a lingering spectre which left him ""more wary"" of certain sexual activities. He said using PrEP made him feel ""more relaxed and not as scared"" about sex and, ""like everyone"", he was not always entirely safe. ""I am in a relationship and we don't use condoms and I still take PrEP as well, just because sometimes we might decide we want to open up our relationship. ""We have that as well as a back up. Then it's our decision among me, my partner and who else we might engage with. That's then something else we need to discuss. We always say that we're on PrEP."" While no-one has criticised him directly, Chris has seen people slamming PrEP users online and on dating apps. ""That's about them not being fully educated on it - they're just making their own opinions"". As of February, 841 people had been prescribed PrEP in Wales since July 2017 - as part of the study, Public Health Wales (PHW) is researching whether there is evidence PrEP increases infection rates and antimicrobial resistance for other STIs. Dr Giri Shankar, of PHW, said some groups ""exhibiting risky behaviour"" might be at a greater risk and the organisation was ""monitoring that closely"". ""At this point in time, we do not have conclusive data to say there is an increase in sexually transmitted diseases among our PrEP users,"" he said. Screenings show of the 841 people taking PrEP, 137 had gonorrhoea, 112 had chlamydia and 25 had syphilis, although there was no indication whether these numbers had increased since the study began. Dr Shankar said PHW recommended those having unprotected sex and with multiple partners should use preventive measures and have regular screenings. Ceri Dunstan, of the Terrence Higgins Trust said: ""There may be some reports of increases in other STIs but the point is the people on PrEP are actually seeing sexual health specialists, they are going into clinics for regular check-ups, which they might not have been doing otherwise. ""We're always been very clear as a trust that PrEP will only prevent HIV, it doesn't prevent anything else, but that at the very least is one big step forward."" Ms Dunstan said as the study in Wales progressed, the trust would like to see more demographic information collected about those accessing the service in order to ""target messages a bit more effectively"". For Chris, the experience of taking PrEP has been overwhelmingly positive. ""It's made me a lot more relaxed and less scared to go out and have some fun because it does give you that extra protection,"" he said. ""[But] taking it isn't the be-all and end-all of protecting yourself, because there are other STIs out there.""";News;"HIV & Aids; ";https://www.bbc.co.uk/news/uk-wales-47950515
2019-04-26 00:00:00;Stormzy: My Glastonbury doubters have 'gone mad' - BBC News;The rapper says it's time to show the world he's ready to headline the festival.;"Stormzy says he's ready to ""show the world"" exactly why he should be headlining Glastonbury. He's topping the Pyramid Stage line-up on the Friday night this year - but some fans have questioned whether, after just one album, he's ready. ""I'm there because I'm a serious musician,"" he told Dotty on the BBC Radio 1Xtra Breakfast Show. As well as showing off his new track - Vossi Bop - he revealed that a new album is on the way too. End of Youtube post by BBC Radio 1Xtra ""There were so many doubters being like, 'Oh he hasn't got no number one song' or, 'Oh he's got one album out, he's not ready',"" he said. ""If you think you're going to give me that Glastonbury 2019 headline slot and I'm not going to give you an incredible performance you've gone mad - you've gone crazy... ""I can't wait and I love it."" He might only have one album under his belt, but, by all accounts, it's a good one. His debut - Gang Signs & Prayer - not only topped the charts, but also won 2018's Brit Award for Best British Album. Now he says he's got a new one on the way. ""It's about showing everyone again,"" he explained. ""I think that's what music is. ""It's about continuously showing people - body of work after body of work, single after single, release after release, piece of music after piece of music, live performance after live performance - that you are exactly who you are meant to be and exactly where you should be."" He didn't give a release date for the new album, but did have a message for anyone who might underestimate it. ""I've never come here to play games. As a musician, I take that so seriously. ""As a man I'm very light-hearted. I love a joke and all that, but when it comes to music I say bruv I've never ever, ever played around - ever. ""This time around I'm more hell bent than ever in setting that tone in terms of… I'm there because I am a serious musician. ""I'm kind of done talking. There's a build-up and this time round I'm ready… I got the album and we are going to show the world... exactly why I managed to get here in my career."" Listen to BBC Radio 1Xtra Breakfast Show with Dotty weekdays from 6-10am. Follow Newsbeat on Instagram, Facebook, Twitter and YouTube. Listen to Newsbeat live at 12:45 and 17:45 weekdays - or listen back here.";News;"Glastonbury Festival; ";https://www.bbc.co.uk/news/newsbeat-48071113
;RG2 - BBC Weather;14-day weather forecast for RG2.;;BBC Weather;;https://www.bbc.co.uk/weather/rg2/day4
2019-04-26 00:00:00;Suffolk Broads gateway restoration work begins - BBC News;"Sir David Attenborough says the restoration of the wetlands is a ""unique opportunity"" for wildlife.";"Work has begun on the £5m restoration of a wetlands habitat which has been backed by television naturalist Sir David Attenborough. Suffolk Wildlife Trust has bought land flanking its Carlton Marshes reserve to create a 1,000 acre (404 hectare) southern gateway to the Broads. It said it would provide a home to ""iconic East Anglian species"", adding the work included a visitors' centre. Sir David said the project presented a ""unique opportunity"" for wildlife. The 348 acre (140 hectare) land purchase was the biggest in the trust's 55-year history. It was funded by a £4m grant from the National Lottery Heritage Fund, while a fundraising appeal raised a further £1m. Julian Roughton, chief executive of Suffolk Wildlife Trust, said the reed bed, fen and wetland areas would ""support some of East Anglia's iconic species, such as fen raft spider, marsh harrier, bittern and crane"". Contractors will take six months to create the wetlands. It involves digging out scrapes - shallow pools suitable for wading birds - and the creation of reed beds. The trust predicts the reserve, which is in north east Suffolk and close to Lowestoft, will attract 120,000 visitors a year. Sir David, who is president emeritus of The Wildlife Trusts, said: ""England's wildlife is under great and ever-growing pressures. ""It is vital we restore our land on a landscape scale so it can support more wild plants and animals.""";News;"Lowestoft; Carlton Colville; Environment; ";https://www.bbc.co.uk/news/uk-england-suffolk-48051836
2019-04-27 00:00:00;Fr Martin Magill says NI politicians felt pressure at Lyra McKee funeral - BBC News;The priest who criticised leaders at Lyra McKee's funeral says people want power-sharing talks to succeed.;"The priest who criticised politicians at Lyra McKee's funeral has said people in the church put ""pressure"" on them to join a standing ovation. Ms McKee was shot while observing a riot in Londonderry last week. Fr Martin Magill was applauded when he asked why it had taken the journalist's death to bring politicians together. In an interview recorded for this Sunday's Andrew Marr programme he said: ""People want our politicians to move, and they want them to move now."" During the funeral service, Fr Magill had commended Northern Ireland's political leaders for ""standing together"" in the Creggan area of Londonderry on Good Friday to attend a vigil for Ms McKee. However, he then added: ""Why in God's name does it take the death of a 29-year-old woman with her whole life in front of her to get to this point?"" The British and Irish governments announced on Friday a new talks process, aimed at restoring devolution in Northern Ireland, would begin on 7 May. Sinn Féin collapsed the coalition government in January 2017 in protest at the DUP's handling of a green energy scandal. Since then, several rounds of talks have failed, with the two parties failing to find a compromise on a number of outstanding issues including Irish language rights and the legalisation of same-sex marriage. Fr Magill said politicians were slow to stand up when his words were applauded in Belfast's St Anne's Cathedral. ""The people, in a sense, really put the pressure on in the cathedral to stand,"" the priest said. ""Obviously the politicians realised; 'Oh goodness, everybody behind us is standing, we need to move,' and they literally moved because people had moved."" DUP leader Arlene Foster said it was ""a moment of great clarity during the service"", but acknowledged there were difficult issues to be discussed. Speaking on the Today programme, Mrs Foster repeated her call for a parallel talks process. ""We have been wanting an Assembly up and running since its collapse and we have said again this week that we want the Assembly set up immediately,"" she said. ""We haven't blocked anything. We have been engaging in talks but what I'm saying is that these are difficult issues - and they are for people in Northern Ireland."" Sinn Féin MLA Conor Murphy said the British government had to come forward with ""rigorous impartiality, to try and get a process together which can address the outstanding issues"". He also said a parallel talks process was ""unlikely to work"". ""We had a 10-year parallel process, if you like, where issues like same sex marriage, Irish language and legacy rights were being presented and pressed and the DUP used various devices to block those,"" he said. The British and Irish governments are to review progress in the negotiations at the end of May. Fr Magill's interview will be broadcast as part of The Andrew Marr Show on BBC One at 09:00 BST on Sunday, 28 April.";News;"Stormont stalemate; ";https://www.bbc.co.uk/news/uk-northern-ireland-48073396
2019-04-26 00:00:00;Man jailed for raping sleep-walking teenager - BBC News;Jordan Adewale attacked the unconscious 19-year-old in her kitchen.;"A man who raped a woman when she sleep-walked into a kitchen has been jailed for five years. The 19-year-old woke up ""shocked and terrified"" to find she was being attacked by Jordan Adewale, 23, a court heard. Adewale had insisted that he had been asleep when the rape happened at a home in Burnham, near Slough, in the early hours of 7 February 2017. A jury at Reading Crown Court found him guilty after a five-day trial. Sentencing, Judge Edward Burgess QC branded Adewale's claims of innocence ""incredible"". ""You knew full well what you had done,"" he said. ""You maintained the pretences with the police and then here at court but the jury saw through your lies and found you guilty."" The judge said forensic evidence had strengthened the prosecution's case against Adewale. ""What is abundantly clear is that you took advantage of her while she was in the kitchen,"" he said. ""It would have been perfectly clear to anyone that she was sleep-walking, you knew her history of sleep-walking."" Adewale was ""only intent on achieving [his] own sexual gratification"", the judge added.";News;"Burnham; Slough; ";https://www.bbc.co.uk/news/uk-england-berkshire-48070993
2019/04/26 8:53:45;Watch live World Snooker Championship from the Crucible in Sheffield - BBC Sport;The World Snooker Championship second round continues at the Crucible in Sheffield - watch BBC Sport coverage.;;"BBC Sport; BBC Sport";Snooker, Live Snooker, Live, Live Sport, Sport, BBC Sport;https://www.bbc.co.uk/sport/live/snooker/47311057
;Wigan - BBC Weather;14-day weather forecast for Wigan.;;BBC Weather;;https://www.bbc.co.uk/weather/2633948
;BBC One - Earth from Space;Cameras in space tell stories of life on our planet from a brand new perspective.;Cameras in space tell stories of life on our planet from a brand new perspective, revealing new discoveries, incredible colours and patterns, and just how fast it is changing.;BBC;;https://www.bbc.co.uk/programmes/p072n2zr
2019-04-25 00:00:00;Wareham toddler death lorry driver cleared of charge - BBC News;Dean Phoenix was found not guilty of causing the death of a three-year-old boy by dangerous driving.;"A lorry driver who killed a toddler on a pedestrian crossing when he went through a red light has been cleared of causing death by dangerous driving. Dean Phoenix, 44, hit three-year-old Jaiden Mangan in Wareham, Dorset, in March 2018. He told jurors he was trying to manoeuvre around an illegally-parked car and had not seen the lights at the crossing change. Phoenix admitted a lesser charge of causing death by careless driving.  Jaiden, who would have turned four the next day, was on a balance bike and accompanied by his mother and sister when he was struck at about 08:40 BST in North Street. Phoenix, of Cibbons Road, Chineham, near Basingstoke, had been working since midnight and admitted he was ""frustrated"" when he found his Sainsbury's lorry was blocked by a car parked on zig-zag lines. He told Bournemouth Crown Court a bus coming from the other direction could not get round him, prompting him to pull his lorry forward onto the crossing. Phoenix said he could not see the traffic lights because of his position in the road, but assumed they were still green as the bus had just gone through.  He said it had been ""a mistake"" not to check the lights properly and was a decision he made in ""a split second"". The jury was shown dashcam footage which the prosecution said showed Phoenix being ""sarcastic"" by making a clapping gesture towards another motorist in the moments before the crash. His defence barrister argued the actions of pensioner Graham Booker, who had parked his car on the zig-zag lines, had ""contributed to the situation"". Booker, 71, of North Street, Wareham, admitted motoring offences in relation to the crash at a separate hearing in November. He was fined £380 and given a three-year driving ban. Speaking after the verdict, Dorset Police said Booker had played a ""massive part"" in the tragedy, while Phoenix should have taken extra care. Insp Joe Pardey said: ""A few simple checks could have and should have avoided this death."" Phoenix will be sentenced on Friday.";News;"Wareham; Basingstoke; ";https://www.bbc.co.uk/news/uk-england-dorset-48052897
;Watermelon recipes - BBC Food;Watermelon is unrelated to melon and takes its name from the fact that its fruit’s sweet spongy flesh is 90% water. Watermelons can be round or oblong and tend to be very large. Their hard skins can be striped or mottled, and range from golden yellow to dark green in colour. Their seeded flesh is usually pink or yellow.;;Food homepage;;https://www.bbc.com/food/watermelon
2019/04/25 18:02:57;Lawro's Premier League predictions v Radio 1 DJ Melvin Odoom - BBC Sport;BBC Sport football expert Mark Lawrenson takes on Radio 1 DJ Melvin Odoom in his Premier League predictions.;"Manchester City know they will retain their Premier League title if they win their final three games of the season and their next test sees them travel to Turf Moor on Sunday. Can City beat Burnley and make it 12 league wins on the spin? BBC football expert Mark Lawrenson feels their mentality will get them through. ""The thing with City is that they are just absolutely zoned in,"" he explained. ""I was at Old Trafford on Wednesday and you saw them just turn the switch on in the second half, and that is how the top teams get results. ""I am at Turf Moor on Sunday which will be the third time I have watched them in a week, and I am expecting to see them get another victory."" Lawro is making predictions for all 380 top-flight matches this season, against a variety of guests. This week he is up against Radio 1 DJ Melvin Odoom, who admits he is not exactly an expert compared to his co-hosts on the late night show, Charlie Hedges and Rickie Williams. ""We just love to take the mickey out of him because he knows nothing about football,"" explains Rickie. ""Melvin has no football knowledge, but he is very lucky, so he might do better with his predictions than he thinks,"" said Charlie. Melvin is definitely taking his task seriously, though. He added: ""I know it is a big deal because every time I look into Rickie's eyes, I see fire burning. ""It is like if I get it wrong, it is a really bad thing, but I think I have got the skills to beat Lawro at the very least.""               Media playback is not supported on this device             Melvin says he supports two teams - Tottenham and Ghana - but admits he is is not much of a footballer himself. ""I didn't really play at school,"" he said. ""But I was very good at kiss-chase and hopscotch. I never used to get picked for football teams, which is probably why I was never really into it. ""I am a Spurs fan because of my dad. Harry Kane is my favourite player and it is such a shame he is out at the moment."" You can listen to Melvin, Charlie and Rickie on the late night show on Radio 1, Monday to Thursday, from 9pm to 11pm. A correct result (picking a win, draw or defeat) is worth 10 points. The exact score earns 40 points. All kick-offs 15:00 BST unless stated. Liverpool 5-0 Huddersfield Lawro's prediction: 4-0 Melvin's prediction: 2-0 Match report Tottenham 0-1 West Ham Lawro's prediction: 2-1 Melvin's prediction: This is my team against Charlie's team. I am going to go for Tottenham to win. 2-1 Charlie: Any reason why? Melvin: Is Harry Kane allowed to play this one? Rickie: I think he is still injured, but you have got Son Heung-min. Melvin: Is Dele Alli playing? Yes? Then definitely 2-1. He has got a lovely clothing line as well. Match report Crystal Palace 0-0 Everton Lawro's prediction: 1-2 Melvin: Oooh, this is a very tough one for me. Charlie: Because you know nothing about either of them? Rickie: They are both in good form at the moment, coming in off the back of wins. Melvin: Really? So you like both teams? Rickie: I think it probably going to be a draw. Charlie: Remember what they said, to go low. Melvin's prediction: Okay, so were are going to go 0-0. Charlie: Not that low! Match report Fulham 1-0 Cardiff Lawro's prediction: 2-1 Melvin: This is an easy one, 1-0 to Fulham. Charlie: Haven't Fulham been relegated? Rickie: Yes, and Cardiff are fighting for their lives, so they will potentially try harder than Fulham. Melvin: Okay, with those facts I am going 1-0 to Cardiff. Charlie: I think you should stick with what you said originally. Melvin's prediction: Okay, 1-0 to Fulham... but I feel there is a lot of pressure on me from both sides, and I can't really make up my mind, so 1-1. Match report Southampton 3-3 Bournemouth Lawro's prediction: 2-0 Melvin's prediction: 1-1 Match report Watford 1-2 Wolves Lawro's prediction: 0-2 Melvin's prediction: The Wolves sound very scary. 1-2 Match report Brighton 1-1 Newcastle Lawro's prediction: 1-0 Rickie: Notoriously this season, both teams don't score many goals, they are quite pragmatic teams. Melvin's prediction: All right then, 1-0 to Newcastle. Charlie: Watch it be 5-0 now! Match report Leicester 3-0 Arsenal Lawro's prediction: 1-1 Melvin's prediction: Arsenal are a massive team but have Leicester still got thingy still, that guy who scored all the goals? Rickie: Yes, they have still got Jamie Vardy, who is scoring goals, and they have got a new manager, Brendan Rodgers, who is doing really well. Melvin: OK... but Arsenal are a big team. I am going to say 2-0 to Arsenal. Match report Burnley 0-1 Man City Lawro's prediction: 0-2 Melvin's prediction: Man City have got this one. It's going to be 3-0 to City. Match report Man Utd 1-1 Chelsea Lawro's prediction: 1-1 Melvin's prediction: This is a very difficult game. 2-2 Charlie: Interesting. I am really proud of you, Mel. Melvin: I didn't want to give silly predictions. I wanted to take it seriously and see how many I could get correct. Charlie: Are you going to beat Lawro, though? Melvin: Of course I am, he's got no chance. I am amazing! Match report Lawro was speaking to BBC Sport's Chris Bevan. From the four midweek games, Lawro got four correct results, including two perfect scores, for a total of 100 points. He beat singer-songwriter Ten Tonnes, who got two correct results, including one perfect score, for a total of 50 points. Lawro's best score: 260 points (week seven v Karl Pilkington) Lawro's worst score: 20 points (week 24 v Grime star Yizzy, week 25 v Tampa Bay Buccaneers quarter-back Ryan Fitzpatrick and Atlanta Falcons wide receiver Mohamed Sanu, and week 31 against Radio 1 DJ Danny Howard)";"BBC Sport; Premier League";;https://www.bbc.co.uk/sport/football/48053764
2019/04/25 22:05:35;Raheem Sterling: Manchester City forward wins award for stance against racism - BBC Sport;"Manchester City forward Raheem Sterling receives an award for his stance against racism and says an ""example"" must be set.";"Manchester City's Raheem Sterling said he hopes to set an example for younger players as he received an award for his stance against racism in football. The England forward has criticised newspapers' portrayal of black players and wants stronger punishments for fans who racially abuse players. He was honoured at the BT Sport Industry Awards on Thursday. ""When the next generation come through, you have to set the example,"" the 24-year-old said. ""Coming through at Liverpool I had people around me like Steven Gerrard I looked up to. Looking at him I thought what can I do within myself to be half the person and player he was. ""You take little things and each year, try and develop not just on the field but off it. ""I was just speaking about my personal experiences, I didn't expect it to get so much attention. ""I just wanted to bring it to the attention of my audience on Instagram. It's been really pleasing to see people listening and trying and do better."" England manager Gareth Southgate presented the award and said Sterling's actions had made ""a massive impact on British society"". ""I've worked with Raheem now for around five years and to have seen his maturity as a person has been lovely to watch,"" said Southgate. ""This is about his own personal improvement, his improvement on the field and his recognition he can make a difference off the field. That has been increasingly powerful over the last six months and had a massive impact on British society I think."" Sterling suffered allegedly racist abuse from Chelsea fans during City's 2-0 defeat at Stamford Bridge in December, prompting an Instagram post in which he questioned newspapers' portrayal of black players. In January, it was revealed he wrote a letter to a young City fan who was racially abused, urging the supporter ""stand tall, don't let them take away your courage"". He was also racially abused during England's European Championship qualifier in Montenegro in March, along with international team-mates Danny Rose and Callum Hudson-Odoi. Earlier in April he was hailed as ""an iconic British sports star"" and ""a trailblazer"" after being named sportsman of the year at the 2019 British Ethnic Diversity Sports Awards.";"BBC Sport; Man City";;https://www.bbc.co.uk/sport/football/48060828
